student_id,date,subject,attendance_status
S11472,2024-05-19,English,Late
S06368,2024-10-20,History,Late
S09525,2024-06-11,Math,excused
S05161,2025-01-05,Geography,left early
S01798,2024-05-10,Science,left early
S03533,2024-08-05,English, late
S10661,2024-04-20,History,left early
S11359,2024-08-17,Arabic,Late
S10404,2024-08-08,Science,left early
S11239,2024-10-04,History,Present
S08948,2024-11-20,Arabic,excused
S06971,2025-01-17,Arabic,left early
S05185,2024-12-20,Arabic, late
S09384,2024-08-30,Science,PRESENT 
S12146,2024-11-17,Geography,Absent
S10227,2024-11-27,English,Present
S01835,2024-07-06,Geography,absnt
S00950,2025-02-04,Math, late
S07267,2024-04-28,English,excused
S08930,2024-04-17,Science,absnt
S05133,2024-03-10,History,absnt
S01446,2024-06-30,Science,PRESENT 
S01673,2024-11-16,History,left early
S00293,2024-10-10,English,excused
S06069,2024-05-31,Math,Present
S03462,2024-11-25,Science,Absent
S05365,2024-07-17,History,Absent
S01348,2024-08-08,History,left early
S05255,2025-01-16,English,PRESENT 
S01359,2024-07-18,Geography,PRESENT 
S01401,2024-04-23,Arabic,Present
S09532,2024-07-13,Math,Late
S11047,2024-12-09,Math,Absent
S10451,2024-10-21,Geography, late
S02268,2024-06-16,Arabic,absnt
S05428,2024-06-05,Geography,left early
S04286,2024-10-31,Geography,Absent
S11792,2024-11-17,Science, late
S07396,2024-07-10,Math, late
S00974,2024-08-27,English,Present
S05789,2024-06-01,Math,absnt
S09107,2024-09-22,Science, late
S05465,2024-07-22,Math,PRESENT 
S04057,2024-06-11,History,Present
S05158,2024-09-22,English, late
S10621,2024-10-17,History,excused
S08844,2025-02-12,Science,Late
S08971,2024-08-16,Arabic,left early
S11979,2024-05-07,English,Absent
S01513,2024-09-09,Arabic,PRESENT 
S02810,2025-02-26,Arabic,PRESENT 
S05840,2024-05-15,Science,Present
S00287,2025-02-01,English,PRESENT 
S02190,2024-06-26,History,excused
S07941,2024-04-28,History,PRESENT 
S04860,2024-04-25,Arabic, late
S11345,2024-04-20,English,PRESENT 
S10634,2025-01-30,Arabic,Late
S06142,2024-07-11,English,PRESENT 
S01246,2024-09-11,English,Late
S04670,2024-06-25,Science,Present
S10049,2024-08-11,Geography,left early
S07858,2024-03-31,English,excused
S08895,2024-07-03,Science,left early
S02984,2024-07-29,Science,excused
S06641,2024-05-01,English,Present
S03949,2025-03-01,Arabic, late
S09581,2024-06-22,Geography,PRESENT 
S00101,2024-04-02,Geography,absnt
S07376,2024-06-07,Math, late
S01498,2024-11-01,Math,left early
S11317,2024-09-27,Math,excused
S07003,2024-08-20,History,Present
S00647,2025-01-12,Science,Late
S09911,2024-03-31,Geography, late
S01217,2025-01-24,English,Present
S01154,2024-11-20,Geography,excused
S06506,2024-05-27,Arabic,PRESENT 
S11639,2024-09-18,English,PRESENT 
S05379,2024-08-11,Science,Absent
S09136,2025-02-15,Math,Absent
S11086,2025-01-05,Geography,Present
S02673,2024-10-13,Geography,Late
S07178,2024-11-12,Math,Present
S05262,2024-08-06,Science,absnt
S09510,2024-10-05,Geography,Present
S00196,2025-02-19,Geography,PRESENT 
S02718,2024-04-01,History,Late
S03031,2024-12-17,History,Absent
S03505,2024-12-07,English,Late
S02600,2024-03-27,Arabic,Present
S05219,2024-03-31,Science,Present
S01978,2024-08-20,History,Late
S07483,2025-02-06,Arabic,left early
S07464,2025-01-24,English,Absent
S07592,2024-08-30,History,PRESENT 
S00013,2024-04-11,History,Late
S03701,2024-03-30,English,Late
S06760,2025-03-09,English,left early
S09179,2024-06-02,English,PRESENT 
S09484,2024-11-19,History,absnt
S04218,2024-06-07,Arabic, late
S08516,2024-10-08,Science,left early
S08235,2024-06-12,Geography,PRESENT 
S00220,2024-04-23,Geography,Late
S09330,2024-09-13,Geography,Absent
S07993,2024-07-11,Math,excused
S11863,2025-01-23,Science,PRESENT 
S00261,2024-06-30,Arabic,Absent
S10268,2024-04-04,Arabic,left early
S03210,2025-02-27,Science,Absent
S09424,2024-05-12,English,Absent
S09512,2024-04-15,English,Present
S03947,2024-09-24,Arabic,Late
S03969,2024-07-11,History,left early
S01477,2025-01-16,Math,left early
S09666,2024-05-07,Geography,excused
S06415,2024-03-21,English,Absent
S03566,2024-08-17,Arabic, late
S02822,2024-11-14,Arabic,absnt
S09705,2024-10-23,Math,excused
S01712,2024-09-14,Arabic,Late
S08775,2024-05-12,English,excused
S06252,2024-09-23,Math,Late
S08902,2024-10-11,English,PRESENT 
S01912,2024-08-31,English,PRESENT 
S10756,2024-04-27,English, late
S10982,2025-01-31,Arabic, late
S01241,2024-04-23,English,Absent
S10740,2024-10-13,Science,Late
S07983,2024-05-24,Arabic, late
S00221,2024-06-02,History,Absent
S03972,2025-01-08,History, late
S06100,2025-02-01,Geography,absnt
S08974,2024-06-27,Arabic,left early
S07142,2025-01-29,Geography,left early
S04008,2024-05-26,History,Absent
S06318,2024-09-18,Science,Present
S11137,2024-04-15,Arabic,Late
S01968,2024-09-29,Arabic,Absent
S08370,2024-07-16,Math,Absent
S03551,2024-11-18,Math, late
S04410,2024-12-10,History,Present
S09176,2024-11-15,History,Absent
S11189,2024-11-15,Science,PRESENT 
S01587,2025-01-22,History,Late
S10253,2024-11-10,Geography,Absent
S11131,2025-02-12,Science,PRESENT 
S11962,2024-12-24,English,left early
S10979,2024-09-22,History, late
S08006,2024-10-23,Math,Present
S04971,2024-12-05,English,excused
S01981,2024-12-06,Geography,Late
S09016,2025-02-28,History,absnt
S04701,2024-12-10,English,excused
S06759,2024-10-12,Geography,left early
S04507,2024-07-03,Science, late
S10223,2024-11-21,Math,left early
S03268,2024-11-24,Science,PRESENT 
S02597,2024-03-15,Science,absnt
S10747,2025-01-18,Geography,Absent
S11235,2024-05-28,Arabic,excused
S09507,2024-07-15,Science,Late
S00447,2024-09-18,English,excused
S10952,2024-07-28,History,PRESENT 
S08155,2024-08-12,Geography,Absent
S10821,2024-11-15,Science,left early
S05546,2025-02-03,English,absnt
S08590,2024-12-18,Geography,Present
S11673,2024-11-07,History, late
S09754,2024-10-20,Science,absnt
S08305,2025-02-28,English, late
S04373,2024-07-25,History,PRESENT 
S02938,2024-09-05,Math,absnt
S05289,2024-07-19,English,PRESENT 
S04709,2024-05-14,English,Present
S06518,2024-07-30,Arabic,Absent
S02974,2024-11-24,Geography,Absent
S10481,2024-04-07,History,absnt
S06168,2025-01-22,Arabic,excused
S01073,2025-01-29,History,Absent
S03427,2024-07-30,History,absnt
S03912,2025-01-12,Science, late
S06989,2025-01-19,Geography,Absent
S08702,2024-09-02,History,Late
S07795,2024-03-17,History,Late
S07609,2024-04-15,English, late
S10757,2024-05-20,Science, late
S02458,2024-06-10,Geography,Absent
S10794,2024-05-22,History,Present
S04417,2025-02-10,Science,PRESENT 
S03217,2024-12-25,Geography,Present
S06863,2024-09-15,Math,excused
S10718,2024-12-27,Geography,Absent
S01019,2025-01-04,English, late
S00779,2025-02-18,Math,PRESENT 
S04829,2024-04-03,Geography, late
S05634,2024-10-01,Geography,absnt
S06959,2025-01-11,Arabic,absnt
S01316,2024-06-10,History,absnt
S10510,2024-07-25,Math,Late
S06591,2024-12-27,Geography,Absent
S11493,2025-02-20,Arabic,excused
S04579,2024-03-31,Science,Absent
S09768,2024-07-16,Geography,Present
S01964,2024-07-11,English, late
S03204,2024-06-24,English,Present
S09056,2024-11-28,Science,Present
S00142,2024-06-20,English,Absent
S06035,2024-07-14,Science,Present
S03679,2024-10-30,Math,PRESENT 
S11148,2024-11-19,English, late
S00071,2025-02-01,Science,PRESENT 
S02522,2025-02-21,Science,PRESENT 
S03104,2024-12-11,Geography,left early
S07097,2024-03-25,Arabic,PRESENT 
S04599,2024-06-05,History,Absent
S06416,2024-05-23,Science,Late
S02930,2024-12-07,History,Absent
S09812,2024-08-17,Geography,Late
S09386,2024-09-22,Math,Absent
S08220,2025-02-16,Geography,left early
S08630,2024-11-30,Geography,left early
S10247,2024-11-11,Geography,Late
S08348,2024-08-04,English, late
S04915,2024-05-17,Math,left early
S08522,2024-05-26,Science,left early
S04648,2025-01-09,English,excused
S07023,2024-10-17,English,Present
S01040,2024-11-23,Math,excused
S01934,2024-08-12,Math,Late
S04000,2024-06-27,Arabic, late
S11274,2024-11-28,English,PRESENT 
S03839,2025-01-23,Geography, late
S10221,2024-03-15,Math,Absent
S10720,2024-10-07,Math,Present
S11183,2025-02-25,Geography,Late
S05382,2024-05-15,Math,excused
S09784,2024-12-10,English,Present
S10924,2024-11-13,Arabic,Absent
S11024,2024-07-17,Science,PRESENT 
S02332,2025-01-23,Arabic,PRESENT 
S06679,2024-10-24,Science,PRESENT 
S11529,2024-05-24,Arabic, late
S06393,2024-05-05,Math,PRESENT 
S06765,2025-01-01,Arabic,Absent
S07400,2024-03-24,English,Present
S07583,2024-10-13,Science,excused
S11014,2024-11-18,Science,absnt
S03299,2025-01-10,Science,Absent
S04614,2025-01-31,Arabic,absnt
S03057,2024-12-25,History,Absent
S09317,2024-08-18,Arabic,absnt
S05423,2025-02-19,History,absnt
S11714,2024-04-01,History,excused
S07180,2024-12-18,Arabic,Late
S07429,2024-08-14,Arabic,Absent
S00549,2024-11-11,Arabic,Absent
S00993,2024-05-27,Arabic,Absent
S02821,2024-11-14,Geography,Late
S05558,2024-09-10,Geography, late
S04548,2025-02-14,Math,excused
S01294,2024-10-10,English,excused
S01704,2024-11-16,Geography,excused
S09924,2025-01-25,Geography,PRESENT 
S06766,2024-07-05,History,PRESENT 
S02616,2024-10-10,History,PRESENT 
S08510,2024-11-04,History,Absent
S00896,2025-02-05,English,Absent
S02383,2025-01-25,Science,Absent
S01894,2024-05-08,Math,Absent
S07241,2024-09-09,Arabic, late
S08298,2024-06-16,Arabic, late
S10341,2024-05-10,Geography,Present
S05469,2024-04-29,English,absnt
S07031,2024-11-28,History,absnt
S00111,2024-07-30,Math,Present
S06349,2024-06-29,Geography,Late
S05127,2025-01-10,English,Absent
S07872,2024-06-28,English,Late
S10551,2024-08-17,English,excused
S05948,2024-03-28,Geography, late
S02471,2024-12-22,Geography,absnt
S08914,2024-10-08,English,PRESENT 
S07158,2024-12-02,Math,PRESENT 
S00634,2024-03-21,English,excused
S02921,2024-04-17,History,Absent
S02663,2024-09-20,Science,absnt
S03310,2024-12-17,Science,Absent
S01001,2025-02-18,Geography,left early
S08855,2025-02-27,Math, late
S04892,2024-10-16,Arabic,PRESENT 
S09918,2024-05-05,Math,Late
S00197,2025-02-16,English,Present
S06622,2025-01-29,Math,excused
S07664,2024-11-06,History,PRESENT 
S11042,2024-06-20,English,absnt
S10640,2024-07-04,History,Absent
S06477,2024-04-14,Science,left early
S06235,2025-01-11,Arabic,Present
S08228,2024-08-11,Science, late
S09165,2025-01-13,Science,excused
S09158,2024-05-31,Arabic,absnt
S11046,2025-01-11,History,left early
S05490,2025-01-21,Arabic,PRESENT 
S02131,2025-02-06,Arabic, late
S06430,2024-08-10,English,absnt
S09247,2024-06-29,Arabic, late
S09011,2024-12-10,Math, late
S07317,2024-06-19,History,excused
S11887,2024-10-17,History,Late
S03038,2024-04-23,Arabic,Late
S06289,2024-07-05,Science,Absent
S04567,2024-10-25,Arabic,Absent
S10463,2024-03-27,Math,Absent
S04277,2024-10-16,Geography,absnt
S08919,2024-06-09,Geography,excused
S05749,2025-01-28,English, late
S03030,2024-12-09,History,Late
S08277,2024-12-23,Math,absnt
S11600,2024-08-20,Math,excused
S11329,2025-01-25,History, late
S10953,2025-01-31,Arabic,absnt
S06638,2024-04-10,History,left early
S02180,2024-09-29,English, late
S03806,2025-01-31,Science,Absent
S08729,2024-06-08,English, late
S02210,2024-10-17,Arabic,Present
S01486,2024-09-03,History,Late
S04491,2024-12-15,Math,Absent
S07868,2024-04-04,Science,excused
S09448,2025-02-12,Math,absnt
S08203,2024-04-09,Arabic,absnt
S04660,2025-01-17,Science, late
S09088,2024-12-02,History,left early
S11843,2024-11-17,History,absnt
S02644,2024-09-11,English,PRESENT 
S02762,2024-10-05,Geography,Absent
S07712,2024-06-25,Geography,excused
S09984,2024-11-30,Math,Present
S02074,2024-09-18,Arabic,left early
S08301,2024-09-29,Geography, late
S05391,2024-11-28,History,left early
S04445,2024-04-19,Arabic,left early
S04725,2024-04-09,Math, late
S04175,2024-08-18,Math,Absent
S04774,2025-02-03,English,Present
S00658,2024-11-25,Geography,Present
S02139,2024-09-30,Math, late
S00871,2024-09-07,History,Present
S05211,2024-06-19,Arabic,left early
S07668,2025-01-23,Arabic,Present
S00580,2024-12-31,Math,Absent
S04342,2024-07-30,English,absnt
S03950,2024-06-14,Arabic,Absent
S03891,2025-01-17,English,excused
S09473,2024-05-23,History,Absent
S00053,2024-09-13,Science,Late
S06833,2024-08-14,Arabic,excused
S00350,2024-04-07,Math,Late
S02890,2024-06-25,Geography,Absent
S02204,2024-10-08,History,Present
S10977,2024-08-24,English,Absent
S08496,2024-10-13,Geography,Absent
S04631,2024-03-23,Arabic,Absent
S07586,2024-08-18,History,left early
S06348,2024-10-09,Geography,Absent
S01692,2024-09-17,Math,left early
S07972,2024-11-06,English,Late
S06551,2024-11-10,History,PRESENT 
S02220,2024-11-11,Science,Late
S04315,2024-03-11,Science,PRESENT 
S04306,2025-02-13,Geography,Present
S06564,2024-12-18,English, late
S05243,2024-08-10,Arabic,excused
S00482,2024-09-29,English,absnt
S00331,2025-01-07,Science,excused
S02702,2024-11-13,History,Present
S03524,2024-08-22,Arabic,excused
S05444,2025-01-01,Arabic,excused
S08937,2024-12-05,Arabic,PRESENT 
S08587,2024-09-21,Arabic,Absent
S01960,2024-03-23,Science,Absent
S00960,2024-04-06,Math,PRESENT 
S08473,2025-01-27,History,excused
S11123,2024-09-09,Science,Absent
S03420,2025-01-18,Geography,PRESENT 
S00170,2024-08-09,Arabic,left early
S01276,2024-10-11,Geography,Present
S08032,2024-04-29,Math,left early
S10686,2025-01-13,English,Present
S10281,2025-01-01,Science,excused
S04566,2024-05-21,Math, late
S09068,2025-02-13,Geography,PRESENT 
S06554,2024-06-29,English,Present
S10106,2024-08-15,Arabic,excused
S00622,2025-01-14,Arabic,absnt
S09124,2024-11-06,History,excused
S02447,2024-10-13,English, late
S05386,2024-03-19,Math,Absent
S04490,2024-07-11,Arabic,PRESENT 
S04881,2025-02-26,History,Absent
S10064,2024-08-11,History,Absent
S00484,2025-01-01,Science,Late
S02545,2024-09-11,Geography,absnt
S12109,2024-06-02,Math,Late
S02611,2024-05-06,Math,Absent
S08508,2024-08-09,Arabic, late
S04032,2024-12-02,Geography,left early
S07039,2024-09-04,English,left early
S01679,2024-10-13,Geography,absnt
S00020,2024-10-25,English,Late
S09539,2024-05-04,Geography, late
S05511,2024-07-26,Science,absnt
S01437,2024-12-27,History, late
S01629,2024-05-19,Science,absnt
S07997,2024-03-22,History,Present
S02628,2024-06-13,Geography,left early
S08183,2024-11-21,Geography,PRESENT 
S04652,2024-10-11,History,Absent
S04698,2024-05-11,English,PRESENT 
S03585,2024-05-09,Math,PRESENT 
S10263,2024-11-26,Geography,PRESENT 
S10172,2024-12-28,Arabic,absnt
S00757,2024-08-18,Arabic,absnt
S01207,2024-11-07,History,Present
S09152,2024-05-06,Science,absnt
S07976,2024-11-27,Science,Absent
S06488,2024-04-15,History, late
S07025,2024-06-20,History,PRESENT 
S01413,2025-01-23,Geography,Late
S03429,2024-09-03,Math,Absent
S09331,2024-03-28,History, late
S02031,2024-11-22,Geography,excused
S04908,2025-02-15,Arabic,excused
S05723,2025-02-07,Science,absnt
S03297,2024-10-08,Science,PRESENT 
S04162,2024-07-22,History, late
S11328,2024-10-28,English,Absent
S06630,2024-10-14,Math,excused
S06725,2024-04-24,Arabic,excused
S10559,2024-06-30,History,Late
S00566,2024-03-10,English,excused
S07339,2024-04-24,Geography,Present
S05248,2024-11-10,Science,absnt
S04927,2024-03-14,History,Present
S08632,2025-02-14,History,absnt
S02076,2024-04-11,Science,PRESENT 
S04097,2024-08-07,History,absnt
S06061,2024-07-16,Science,excused
S04098,2024-04-11,Arabic, late
S00841,2024-12-21,English,PRESENT 
S09565,2024-11-04,Geography,absnt
S07724,2025-01-22,Math, late
S12145,2024-05-16,Geography,excused
S07843,2024-07-11,Arabic,Present
S00502,2024-06-05,Science,left early
S10249,2024-11-16,Arabic,left early
S04530,2024-07-21,History,excused
S04392,2024-07-29,History,PRESENT 
S11512,2024-07-28,Science,left early
S02787,2025-01-24,Science,excused
S05188,2025-02-15,History,absnt
S10739,2024-06-09,Math,PRESENT 
S00099,2024-10-27,English,excused
S02605,2025-01-14,Arabic,Absent
S06502,2025-03-05,History,left early
S06903,2025-02-22,Math,Late
S04230,2024-11-09,History, late
S07633,2024-05-22,Geography,PRESENT 
S05405,2024-12-13,Geography,absnt
S09611,2025-01-06,Math,excused
S09785,2024-03-22,Geography,absnt
S05677,2024-04-11,Math,left early
S05338,2024-09-20,English, late
S04863,2025-02-28,History,Present
S02682,2024-04-10,Geography,absnt
S06799,2025-02-15,English,absnt
S02277,2024-09-18,History,Absent
S01038,2024-04-06,Arabic,Late
S08078,2024-09-20,Science,Late
S11209,2024-05-09,Math,PRESENT 
S01707,2024-03-26,Arabic,Present
S08161,2024-06-20,Math,Absent
S08460,2024-12-06,History, late
S04906,2024-04-01,Geography,Absent
S04559,2024-12-07,Geography, late
S01453,2024-08-10,Science,excused
S09533,2024-03-15,English,PRESENT 
S07133,2024-03-29,Arabic,left early
S04549,2024-05-02,Science, late
S05931,2025-01-25,English, late
S04833,2024-10-28,History, late
S10928,2024-05-29,History,Absent
S03406,2024-10-23,History,absnt
S05682,2024-12-10,Math,Late
S11793,2024-04-05,Science,Absent
S04375,2024-09-09,Math, late
S09025,2024-11-30,Geography,left early
S10474,2024-09-22,Math,absnt
S00777,2024-03-24,Geography,absnt
S05069,2024-03-25,Science,absnt
S09936,2024-10-31,English,absnt
S06351,2024-07-27,History, late
S09091,2024-10-26,English, late
S01253,2025-03-07,English,Absent
S10318,2025-03-09,Arabic,excused
S10054,2024-06-04,Arabic,excused
S09642,2024-11-15,Geography,left early
S06680,2024-05-02,Math,excused
S04827,2024-04-03,Science,left early
S11808,2024-07-09,English,excused
S05512,2025-01-24,Science, late
S09243,2024-05-22,Science, late
S04004,2024-04-19,Math,Absent
S04451,2024-11-12,Geography,Absent
S11954,2024-05-06,Geography,Absent
S10744,2024-06-12,Arabic, late
S12038,2025-02-24,English,left early
S05514,2025-01-22,History,left early
S02968,2024-07-12,Arabic, late
S09255,2024-05-02,Science,absnt
S06300,2025-01-20,Math,Absent
S01177,2024-04-30,Geography,Present
S04099,2024-06-27,Geography,excused
S10957,2024-11-01,English,excused
S10631,2024-08-17,Arabic,absnt
S11233,2025-02-07,History,Present
S05041,2024-10-03,Math, late
S06060,2024-11-07,English,left early
S02242,2024-07-18,Science,excused
S03326,2024-03-29,English,left early
S00365,2024-06-10,Math,excused
S07127,2024-08-20,History,Late
S01710,2024-11-06,English,Late
S00060,2024-12-09,Math, late
S08102,2024-09-20,Science,Late
S08683,2025-02-27,Arabic,Present
S08666,2024-09-04,Arabic,Late
S10006,2025-02-19,Science,Late
S06938,2024-08-31,Science,Late
S06083,2024-07-10,Geography,excused
S05314,2024-09-23,History, late
S08000,2024-06-28,Geography, late
S02293,2025-02-07,Geography,Present
S01836,2024-12-29,English,Present
S08150,2025-02-24,Geography,Present
S11547,2024-11-05,English,Present
S07268,2024-08-07,History, late
S08225,2025-02-14,Geography, late
S02910,2024-05-03,Science,Present
S01538,2024-04-03,Science,left early
S10951,2024-08-08,Geography,PRESENT 
S10000,2024-12-03,History,Absent
S09205,2024-04-28,History,PRESENT 
S11771,2024-08-25,Science,Absent
S09161,2024-08-04,Geography,absnt
S06574,2024-08-26,Science,PRESENT 
S12097,2024-06-28,English,left early
S01537,2024-08-27,English,excused
S10892,2024-12-03,Science,left early
S10322,2025-03-09,Geography,PRESENT 
S00913,2024-12-20,Science,excused
S08030,2024-08-19,Science,Present
S05770,2024-04-30,Geography,PRESENT 
S06206,2024-07-25,Arabic,excused
S04946,2024-07-07,Arabic,left early
S05369,2024-05-27,Arabic,left early
S10975,2024-08-26,Geography,Absent
S02048,2024-11-17,Science,excused
S08438,2024-10-25,Geography, late
S01234,2024-10-23,History,PRESENT 
S09472,2024-11-04,Math,Absent
S03185,2024-12-29,English,PRESENT 
S10981,2024-08-24,Arabic,Absent
S07377,2024-10-31,Geography,excused
S11740,2024-07-01,Science, late
S11030,2024-08-09,English,Absent
S06250,2024-10-12,History, late
S00722,2024-10-12,Geography,PRESENT 
S00623,2024-04-26,English,Present
S11326,2024-06-28,English,Present
S09373,2025-01-22,Math,left early
S08970,2024-08-30,History,absnt
S06374,2025-02-13,Arabic,PRESENT 
S04683,2025-02-01,History,Present
S08742,2024-03-09,Arabic,Late
S05760,2024-05-23,English,Absent
S09171,2024-10-20,Arabic,absnt
S06144,2025-01-20,Science,left early
S03388,2024-05-01,Arabic,left early
S00090,2024-12-12,Geography, late
S03081,2024-12-20,Science,excused
S07887,2024-07-29,Science,PRESENT 
S09466,2024-11-07,History,absnt
S01411,2024-03-21,Math,Late
S00867,2024-10-28,Geography,Late
S02891,2024-06-18,Math,Present
S10128,2024-06-04,Geography, late
S02620,2024-12-11,Arabic,Late
S06148,2024-10-20,Arabic, late
S02894,2025-02-12,Science, late
S11023,2025-01-12,Math,PRESENT 
S08834,2025-02-01,Geography,Absent
S04685,2024-06-14,Science,Late
S01607,2024-08-02,History,PRESENT 
S09287,2024-11-14,History,Late
S05617,2024-09-23,English, late
S05611,2025-02-12,History,Present
S00750,2024-08-17,Arabic,Absent
S10553,2024-09-12,Science,PRESENT 
S07144,2024-03-19,Science,Present
S06355,2024-11-10,Geography,PRESENT 
S04377,2024-12-04,English,Late
S01248,2025-02-01,History,left early
S02549,2024-09-24,Science,PRESENT 
S11936,2025-02-10,Science,Late
S03608,2024-05-18,History,absnt
S01557,2025-02-20,English,Present
S04574,2024-06-07,Arabic,Present
S01566,2024-10-15,Geography,Late
S07673,2024-09-27,Science,Present
S04602,2024-09-15,Arabic, late
S08486,2024-11-10,History,excused
S03904,2024-09-14,Geography,absnt
S06562,2024-11-17,Math,Late
S06193,2024-09-05,Arabic,left early
S06242,2024-05-25,Science,excused
S11500,2024-04-15,Science,excused
S03737,2024-06-27,English,absnt
S03575,2024-12-13,History,PRESENT 
S00322,2025-02-13,Arabic, late
S06616,2024-06-11,Geography,Present
S04696,2025-02-11,History,Present
S09887,2024-10-07,Science,Absent
S08771,2024-06-15,History,absnt
S02622,2024-11-11,Arabic,Absent
S10214,2025-02-17,Arabic,Present
S00112,2024-04-23,Geography,Present
S01856,2024-05-21,Math,excused
S03137,2025-02-26,English,Late
S05998,2024-10-26,Science,left early
S00324,2025-02-07,English,Absent
S11496,2025-02-06,Arabic, late
S06821,2024-03-17,Arabic,left early
S08204,2024-09-08,Science, late
S00517,2024-08-24,Arabic,Present
